datetime,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-10-05 09:00:00,13.512069031973414,0.1352356936204954,20.382936390780227,0.4182143035289092,0.13078411143979105,0.00445158218070435,0.5261550462125046,-0.11322241962946715,-1.4970705170948944,1.055401269350551,-0.0023189788062137335,-0.054222971155735655,0.4557685792914135
2017-10-05 10:00:00,13.564791295893567,0.1352356936204954,40.41900483603348,0.6612172324246777,0.1316626992251232,0.003572994395372203,0.6796280376700773,1.031994138113955,-1.5949961553308414,1.0621374965554957,0.014059031920374662,-0.04016393923536099,0.45703405839058736
2017-10-05 11:00:00,13.617393397663468,0.1352356936204954,35.412129389480725,0.5140744183351909,0.1320570782654306,0.0031786153550648066,0.7865120333435123,0.6702821093543905,-1.6509100930620464,1.0661474679457992,0.008992931990755553,-0.031171007244605437,0.4582885397975228
2017-10-05 12:00:00,13.669892100849664,0.1352356936204954,34.558229617596965,0.4831485240510362,0.13217240547773887,0.003063288142756526,0.825626112303128,0.5822401764292157,-1.6839824908486125,1.0694819417769013,0.007754136597461485,-0.023416870647143952,0.4595355595317828
2017-10-05 13:00:00,13.722538895714806,0.1352356936204954,27.978789496323877,0.4061653502349963,0.1320570782654306,0.0031786153550648066,0.7865120333435123,0.21977532866783517,-1.6434246458046533,1.0700623963719096,0.0025702998801824624,-0.02084657076696149,0.46079373370003707
2017-10-05 14:00:00,13.775185690579947,0.1352356936204954,34.351011743600964,0.5619505232311509,0.1316626992251232,0.003572994395372203,0.6796280376700773,0.6213672161102439,-1.6322355787386238,1.073651900516079,0.008205722961298016,-0.012640847805663474,0.46205190786829126
2017-10-05 15:00:00,13.827938768778502,0.1352356936204954,38.232940475086,0.7844582481198766,0.13078411143979105,0.00445158218070435,0.5261550462125046,0.9141115526425831,-1.5712599077460996,1.0793648819194688,0.012156120852764074,-0.00048472695289939957,0.46332099731148474
2017-10-05 16:00:00,13.880756840262643,0.1352356936204954,39.58606808774745,1.2217760347689772,0.12868509200522293,0.006550601615272461,0.34439339098430666,1.048351288902691,-1.4958539840064895,1.0858139492298853,0.013511711362578354,0.013026984409678954,0.4646007379966395
2017-10-05 17:00:00,13.933599139261243,0.1352356936204954,15.03330907053324,1.2106417318792673,0.12071574799006306,0.014519945630432338,0.14648412188726145,-0.4862244133315607,-1.4537691504578136,1.0858139492298853,-0.008618788019181188,0.004408196390497766,0.4658908396452333
2017-10-05 18:00:00,13.986342427066802,0.1352356936204954,1.874451399964734,0.6728344522206479,0.0982763502715049,0.036959343348990495,0.05,-1.3096455999683048,-1.3969188746386325,1.0858139492298853,-0.019476330555507293,-0.015068134165009527,0.467203829788558
