timestamp,Irrad,Tair,rain,wind,RH
2017-09-20 0:00,0,20,0,0.1,70
2017-09-20 1:00,0,20,0,0.1,70
2017-09-20 2:00,0,20,0,0.1,70
2017-09-20 3:00,0,20,0,0.1,70
2017-09-20 4:00,0,20,0,0.1,70
2017-09-20 5:00,0,20,0,0.1,70
2017-09-20 6:00,0,20,0,0.1,70
2017-09-20 7:00,131.3,29.4,0,0.1,70
2017-09-20 8:00,131.3,29.4,0,0.1,70
2017-09-20 9:00,131.3,29.4,0,0.1,70
2017-09-20 10:00,131.3,29.4,0,0.1,70
2017-09-20 11:00,131.3,29.4,0,0.1,70
2017-09-20 12:00,131.3,29.4,0,0.1,70
2017-09-20 13:00,131.3,29.4,0,0.1,70
2017-09-20 14:00,131.3,29.4,0,0.1,70
2017-09-20 15:00,131.3,29.4,0,0.1,70
2017-09-20 16:00,131.3,29.4,0,0.1,70
2017-09-20 17:00,131.3,29.4,0,0.1,70
2017-09-20 18:00,131.3,29.4,0,0.1,70
2017-09-20 19:00,131.3,29.4,0,0.1,70
2017-09-20 20:00,0,20,0,0.1,70
2017-09-20 21:00,0,20,0,0.1,70
2017-09-20 22:00,0,20,0,0.1,70
2017-09-20 23:00,0,20,0,0.1,70
2017-09-21 0:00,0,20,0,0.1,70
2017-09-21 1:00,0,20,0,0.1,70
2017-09-21 2:00,0,20,0,0.1,70
2017-09-21 3:00,0,20,0,0.1,70
2017-09-21 4:00,0,20,0,0.1,70
2017-09-21 5:00,0,20,0,0.1,70
2017-09-21 6:00,0,20,0,0.1,70
2017-09-21 7:00,131.3,29.4,0,0.1,70
2017-09-21 8:00,131.3,29.4,0,0.1,70
2017-09-21 9:00,131.3,29.4,0,0.1,70
2017-09-21 10:00,131.3,29.4,0,0.1,70
2017-09-21 11:00,131.3,29.4,0,0.1,70
2017-09-21 12:00,131.3,29.4,0,0.1,70
2017-09-21 13:00,131.3,29.4,0,0.1,70
2017-09-21 14:00,131.3,29.4,0,0.1,70
2017-09-21 15:00,131.3,29.4,0,0.1,70
2017-09-21 16:00,131.3,29.4,0,0.1,70
2017-09-21 17:00,131.3,29.4,0,0.1,70
2017-09-21 18:00,131.3,29.4,0,0.1,70
2017-09-21 19:00,131.3,29.4,0,0.1,70
2017-09-21 20:00,0,20,0,0.1,70
2017-09-21 21:00,0,20,0,0.1,70
2017-09-21 22:00,0,20,0,0.1,70
2017-09-21 23:00,0,20,0,0.1,70
2017-09-22 0:00,0,20,0,0.1,70
2017-09-22 1:00,0,20,0,0.1,70
2017-09-22 2:00,0,20,0,0.1,70
2017-09-22 3:00,0,20,0,0.1,70
2017-09-22 4:00,0,20,0,0.1,70
2017-09-22 5:00,0,20,0,0.1,70
2017-09-22 6:00,0,20,0,0.1,70
2017-09-22 7:00,131.3,29.4,0,0.1,70
2017-09-22 8:00,131.3,29.4,0,0.1,70
2017-09-22 9:00,131.3,29.4,0,0.1,70
2017-09-22 10:00,131.3,29.4,0,0.1,70
