datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-09-20 00:00:00,263,0.0,0,6.003822686825982,0.0025222706332550084,0.0,0.0,0.00250642608634677,1.5844546908238416e-05,0.05,-1.6277813336254874,-1.6277813336254874,1.0,-0.00044341614595773795,0.6314417714051096,0.0012690894431935246
2017-09-20 01:00:00,263,0.0,1,6.007651774309711,0.0025222706332550084,0.000412609822112148,2.5524277607055516e-06,0.00250642608634677,1.5844546908238416e-05,0.05,-1.5273920965483458,-1.527421883015353,1.0,-0.0004160696438746186,0.631025701761235,0.002562575499222494
2017-09-20 02:00:00,263,0.0,2,6.0114797664238555,0.0025222706332550084,0.000412609822112148,2.5524277607055516e-06,0.00250642608634677,1.5844546908238416e-05,0.05,-1.4997879574184771,-1.4998177985402337,1.0,-0.0004085501321439207,0.630617151629091,0.0038627201604026383
2017-09-20 03:00:00,263,0.0,3,6.0152879362936895,0.0025222706332550084,0.000412609822112148,2.5524277607055516e-06,0.00250642608634677,1.5844546908238416e-05,0.05,-1.703134239839733,-1.703163696838737,1.0,-0.0004639427219921386,0.6301532089070989,0.005113483131921458
2017-09-20 04:00:00,263,0.0,4,6.018905362594343,0.0025222706332550084,0.000412609822112148,2.5524277607055516e-06,0.00250642608634677,1.5844546908238416e-05,0.05,-2.112027633123454,-2.112056427476596,1.0,-0.0005753274190434557,0.6295778814880555,0.006269346994685217
2017-09-20 05:00:00,263,0.0,5,6.022510327714471,0.0025222706332550084,0.000412609822112148,2.5524277607055516e-06,0.00250642608634677,1.5844546908238416e-05,0.05,-2.1308880350443853,-2.130916801805214,1.0,-0.000580465091089067,0.6289974163969664,0.007421096123738304
2017-09-20 06:00:00,263,0.0,6,6.026151564754961,0.0025222706332550084,0.000412609822112148,2.5524277607055516e-06,0.00250642608634677,1.5844546908238416e-05,0.05,-2.0747688838832534,-2.0747977334439924,1.0,-0.0005651779410415676,0.6284322384559248,0.008585164526018945
2017-09-20 07:00:00,263,0.0,7,6.029804153888779,0.0025222706332550084,0.05412858588865617,5.542517475413672e-05,0.002518485431912816,3.7852013421925575e-06,0.21145148903185462,-2.052585838682967,-2.0563933837731105,1.0,-0.0005591366707107531,0.627873101785214,0.009753321622657933
2017-09-20 08:00:00,263,0.0,8,6.033445390929269,0.0025222706332550084,0.2514811213157326,0.0001263261235386356,0.002520295897125038,1.974736129970421e-06,0.4142377508327244,-2.057113850753278,-2.074789025348866,1.0,-0.0005603723379528836,0.6273127294472611,0.010917390024938575
2017-09-20 09:00:00,263,0.0,9,6.036996776551635,0.0025222706332550084,0.5460979991374935,0.00019159000864102746,0.002520870832252178,1.3998010028304884e-06,0.6039435021039131,-2.16980340380209,-2.207912548234957,1.0,-0.0005910715530610595,0.6267216578942001,0.012052609580850188
2017-09-20 10:00:00,263,0.0,10,6.040439827476518,0.0025222706332550084,0.8029208964622905,0.00022893815054405477,0.0025211264475161694,1.1441857388390375e-06,0.768154389840342,-2.293263084976278,-2.3488948015221696,1.0,-0.0006247037289506561,0.6260969541652495,0.013158706989766723
2017-09-20 11:00:00,263,0.0,11,6.043755638795003,0.0025222706332550084,0.959765478002488,0.00024488069646377467,0.002521244266578687,1.026366676321576e-06,0.8860697119105226,-2.432122327738587,-2.4981572240551726,1.0,-0.0006625301579736376,0.6254344240072758,0.014235566091392
2017-09-20 12:00:00,263,0.0,12,6.0470110290696155,0.0025222706332550084,1.1000324183662298,0.00027095684102499117,0.0025212790913378964,9.915419171119787e-07,0.9303086877404957,-2.4893205438782666,-2.5647686540171772,1.0,-0.0006781120107710012,0.6247563119965048,0.015299893191365991
2017-09-20 13:00:00,263,0.0,13,6.05047070408885,0.0025222706332550084,0.5657309340882033,0.00014434420525204791,0.002521244266578687,1.026366676321576e-06,0.8860697119105226,-2.2890085510984037,-2.328263184884207,1.0,-0.0006235422484341357,0.6241327697480707,0.016410161436546486
2017-09-20 14:00:00,263,0.0,14,6.054075669208978,0.0025222706332550084,0.27016282755611476,7.703196959870647e-05,0.0025211264475161694,1.1441857388390375e-06,0.768154389840342,-2.1119743968845825,-2.1309115768376263,1.0,-0.000575315208046765,0.623557454540024,0.017561910565599574
